date,Hsig_0,Hsig_1,Hsig_2,Tp_0,Tp_1,Tp_2,Wdir_0,Wdir_1,Wdir_2,Hsig_peak_0,Hsig_peak_1,Hsig_peak_2,Tp_peak_0,Tp_peak_1,Tp_peak_2,Wdir_peak_0,Wdir_peak_1,Wdir_peak_2,E,shoreline,omega_filt,dx
2004-08-01,0.45373743838890984,0.7234156604841787,0.48197495609039226,11.674999999999999,11.141666666666666,8.533333333333333,101.9310524749517,102.54275342138085,90.93299995500485,0.5426272214828152,0.888818834904566,0.6108224692723849,12.2,12.2,15.0,103.6740416086702,104.56452047289888,120.16435283762242,0.014916779754900479,44.4922536234016,1.6031430386680703,
2004-08-04,0.3711199034502288,0.5312923433629515,1.0216056065505421,9.083333333333334,9.4625,10.433333333333332,96.16567683857532,104.2435595255463,103.19171054429292,0.5275534954628702,0.8807588979624613,1.2677713449340813,15.0,11.1,11.1,120.10635183018589,106.71336986155912,104.38977948430924,0.02307414764614057,45.210129872888764,2.2097907104948953,0.717876249487162
2004-08-07,1.0815656144146404,0.7166478837834322,0.667540074916432,10.654166666666667,9.558333333333334,9.987499999999999,102.66230750822591,103.30973205718611,102.98803075123267,1.260866405008823,0.8549109975824589,1.406190273435234,11.1,10.2,15.0,103.8847700261646,105.11647960975468,105.48344319242,0.03306352137217958,44.94374245081736,3.039794533199268,-0.26638742207140353
2004-08-10,0.9281639470528328,0.9893627611322122,1.118288196890684,10.933333333333332,10.791666666666666,12.679166666666667,102.4945904142641,103.41318377877127,101.31769114900243,1.270210997019259,1.2894233853443329,1.4462879546272955,15.1,12.2,15.0,104.61204380059128,104.26459374923132,103.96307921527465,0.047699917357230545,46.400738296457355,2.4335295068037768,1.4569958456399945
2004-08-13,0.6192923656679931,0.32008815346428154,1.4606141157532626,12.904166666666667,8.158333333333333,10.070833333333333,100.49377671457881,100.23077282389308,106.32634297497977,0.9621438110470582,0.511068402307025,2.1961894325089184,13.5,13.5,13.5,103.67987960153978,126.00311799523232,120.38915223268828,0.045561581342570684,46.37820910776105,2.644766206847935,-0.022529188696303493
2004-08-16,1.4359829785862734,1.2165247734228266,1.2384560193318632,10.983333333333333,12.041666666666666,12.933333333333332,103.1425956529509,101.02779849345812,99.89805262829803,1.7320193054544109,1.5517870600284844,1.452746528638898,13.5,13.5,17.1,105.2243557553866,102.3040929941934,101.9719411582117,0.07756324562451156,44.320642583632,4.080992397288684,-2.057566524129051
2004-08-19,1.0459908631672856,0.7141721056766693,0.5031421418411733,13.125,12.683333333333332,12.441666666666665,99.86215908619289,100.16682544920018,100.28371577435998,1.3593796763313977,0.9198451550436536,0.6528409877554192,15.0,15.0,13.5,102.17722091444718,103.81315294298052,102.4823784852298,0.028548533337417553,44.926218331173885,2.8684874708183234,0.6055757475418844
2004-08-22,0.40521127847878224,0.6007215548712308,0.7682038399388028,14.825000000000001,10.758333333333333,11.887500000000001,101.34285369057527,103.63532568871238,102.71899733381905,0.5525407051927513,0.7856697972532061,0.9460709604007448,17.1,15.0,13.5,106.14635061704185,108.2024720308392,104.84704476093414,0.01727752912488015,46.84424782516053,1.4111341221833713,1.9180294939866442
2004-08-25,0.7149091131651818,0.8998416543144696,0.7165503056005482,11.704166666666666,8.012500000000001,7.683333333333334,99.57190301945298,88.3112735933875,86.38696083946888,0.9733171656246736,1.2189312766443676,1.0208204847759583,12.2,11.1,10.2,103.14906690083228,108.84627506829044,112.1759984820556,0.02880341750725658,46.21675862893598,2.05345929055304,-0.6274891962245519
2004-08-28,0.4049642346590238,0.4959895044194737,0.7818829815918397,6.045833333333333,12.4375,6.370833333333334,111.3066764220369,100.50956904008478,78.0230147406685,0.9015512546628844,0.6078210450448034,0.9537004435407944,7.7,13.5,13.5,122.6417666487759,113.92236929869856,110.01750003942098,0.01640900049185575,47.016002073659024,2.6814170850068844,0.7992434447230465
2004-08-31,0.5788191410645716,0.7843956964803013,1.3721925921487772,8.3375,9.720833333333333,12.843749999962165,92.30344283946624,104.30092581681919,101.63213029199089,0.8224821591314433,1.1168379369156187,1.7872827144050891,13.5,12.2,15.0,115.73003546890796,107.76155382243265,106.47504881104597,0.04430677958948815,48.099225319106885,3.153715414600923,1.0832232454478614
2004-09-03,1.2768611018900804,0.933757581323927,0.6776576026056801,12.758333333290649,11.766666666666666,10.51666666663174,100.4736207783651,99.7781402212852,97.94019805396016,1.6208242527097312,1.2000887462723937,0.8928493823188883,15.0,12.2,12.2,102.74493424779553,101.98601518103293,103.6563903383269,0.04557911826382084,46.38933084092298,3.042433804261587,-1.7098944781839052
2004-09-07,0.7986770099085203,1.367903465587985,0.9363284558653769,9.154166666666667,8.7875,9.383333333333333,91.8363896611515,79.60541016684695,82.99188901353064,1.308626187363719,1.588360736245919,1.2389505728547967,12.2,10.2,10.2,104.93861968264062,83.25538051038941,87.14365262607132,0.05331891502567877,44.997438002791625,1.766003571902169,-1.391892838131355
2004-09-10,0.9062579946029127,0.9526267406079052,1.1270219332139961,10.166666666666666,9.957275000000001,8.426391666666666,87.157054577234,79.64950754827329,89.27620261946817,1.10133854330743,1.1774915440250764,1.616766776745885,12.2,11.1458,11.11735,98.7446242814448,79.85882198525098,104.10754623778092,0.04649404719510264,44.393258028610205,2.9207628829792784,-0.6041799741814202
